대분류,중분류,소분류,사례수,빈도유형,학생_독서시간,연도
학교급,초등학교,소계,50.1,59.7,46.3,2023
학교급,중학교,소계,51.2,59.7,61.5,2023
학교급,고등학교,소계,47.8,59.7,71.3,2023
학교급*성별,초등학교,남,52.4,59.7,44.1,2023
학교급*성별,초등학교,여,47.6,59.7,48.3,2023
학교급*성별,중학교,남,51.3,59.7,54.1,2023
학교급*성별,중학교,여,51.0,59.7,67.2,2023
학교급*성별,고등학교,남,49.5,59.7,78.1,2023
학교급*성별,고등학교,여,46.0,59.7,64.7,2023
학교급*학년,초등학교,4학년,51.7,59.7,36.6,2023
학교급*학년,초등학교,5학년,53.4,59.7,42.9,2023
학교급*학년,초등학교,6학년,45.0,59.7,56.0,2023
학교급*학년,중학교,1학년,55.1,59.7,49.2,2023
학교급*학년,중학교,2학년,45.7,59.7,74.5,2023
학교급*학년,중학교,3학년,52.1,59.7,61.9,2023
학교급*학년,고등학교,1학년,50.0,59.7,67.5,2023
학교급*학년,고등학교,2학년,44.1,59.7,67.2,2023
학교급*학년,고등학교,3학년,49.2,59.7,81.9,2023
연간 독서량,1~5권,소계,38.5,59.7,45.3,2023
연간 독서량,6~10권,소계,45.9,59.7,55.5,2023
연간 독서량,11~15권,소계,54.1,59.7,66.3,2023
연간 독서량,16~20권,소계,50.0,59.7,78.3,2023
연간 독서량,21권 이상,소계,60.0,59.7,63.4,2023
학교급,초등학교,소계,50.1,35.4,36.5,2023
학교급,중학교,소계,51.2,35.4,37.5,2023
학교급,고등학교,소계,47.8,35.4,30.6,2023
학교급*성별,초등학교,남,52.4,35.4,40.1,2023
학교급*성별,초등학교,여,47.6,35.4,33.1,2023
학교급*성별,중학교,남,51.3,35.4,29.2,2023
학교급*성별,중학교,여,51.0,35.4,46.3,2023
학교급*성별,고등학교,남,49.5,35.4,34.3,2023
학교급*성별,고등학교,여,46.0,35.4,27.8,2023
학교급*학년,초등학교,4학년,51.7,35.4,31.2,2023
학교급*학년,초등학교,5학년,53.4,35.4,41.5,2023
학교급*학년,초등학교,6학년,45.0,35.4,36.1,2023
학교급*학년,중학교,1학년,55.1,35.4,31.8,2023
학교급*학년,중학교,2학년,45.7,35.4,72.0,2023
학교급*학년,중학교,3학년,52.1,35.4,19.1,2023
학교급*학년,고등학교,1학년,50.0,35.4,20.8,2023
학교급*학년,고등학교,2학년,44.1,35.4,35.1,2023
학교급*학년,고등학교,3학년,49.2,35.4,35.8,2023
연간 독서량,1~5권,소계,38.5,35.4,23.1,2023
연간 독서량,6~10권,소계,45.9,35.4,40.4,2023
연간 독서량,11~15권,소계,54.1,35.4,35.6,2023
연간 독서량,16~20권,소계,50.0,35.4,22.3,2023
연간 독서량,21권 이상,소계,60.0,35.4,37.4,2023
학교급,초등학교,소계,50.1,50.4,50.7,2023
학교급,중학교,소계,51.2,50.4,50.9,2023
학교급,고등학교,소계,47.8,50.4,49.5,2023
학교급*성별,초등학교,남,52.4,50.4,53.3,2023
학교급*성별,초등학교,여,47.6,50.4,48.0,2023
학교급*성별,중학교,남,51.3,50.4,51.9,2023
학교급*성별,중학교,여,51.0,50.4,50.0,2023
학교급*성별,고등학교,남,49.5,50.4,47.5,2023
학교급*성별,고등학교,여,46.0,50.4,51.7,2023
학교급*학년,초등학교,4학년,51.7,50.4,50.2,2023
학교급*학년,초등학교,5학년,53.4,50.4,52.3,2023
학교급*학년,초등학교,6학년,45.0,50.4,49.4,2023
학교급*학년,중학교,1학년,55.1,50.4,54.0,2023
학교급*학년,중학교,2학년,45.7,50.4,52.9,2023
학교급*학년,중학교,3학년,52.1,50.4,46.0,2023
학교급*학년,고등학교,1학년,50.0,50.4,47.8,2023
학교급*학년,고등학교,2학년,44.1,50.4,46.7,2023
학교급*학년,고등학교,3학년,49.2,50.4,55.3,2023
연간 독서량,1~5권,소계,38.5,50.4,34.2,2023
연간 독서량,6~10권,소계,45.9,50.4,45.6,2023
연간 독서량,11~15권,소계,54.1,50.4,55.3,2023
연간 독서량,16~20권,소계,50.0,50.4,51.1,2023
연간 독서량,21권 이상,소계,60.0,50.4,65.0,2023
학교급,초등학교,소계,50.1,71.3,59.1,2023
학교급,중학교,소계,51.2,71.3,70.8,2023
학교급,고등학교,소계,47.8,71.3,84.1,2023
학교급*성별,초등학교,남,52.4,71.3,54.4,2023
학교급*성별,초등학교,여,47.6,71.3,63.3,2023
학교급*성별,중학교,남,51.3,71.3,63.5,2023
학교급*성별,중학교,여,51.0,71.3,76.4,2023
학교급*성별,고등학교,남,49.5,71.3,82.8,2023
학교급*성별,고등학교,여,46.0,71.3,85.4,2023
학교급*학년,초등학교,4학년,51.7,71.3,43.6,2023
학교급*학년,초등학교,5학년,53.4,71.3,53.3,2023
학교급*학년,초등학교,6학년,45.0,71.3,75.0,2023
학교급*학년,중학교,1학년,55.1,71.3,62.8,2023
학교급*학년,중학교,2학년,45.7,71.3,83.2,2023
학교급*학년,중학교,3학년,52.1,71.3,66.7,2023
학교급*학년,고등학교,1학년,50.0,71.3,79.7,2023
학교급*학년,고등학교,2학년,44.1,71.3,86.3,2023
학교급*학년,고등학교,3학년,49.2,71.3,88.0,2023
연간 독서량,1~5권,소계,38.5,71.3,43.7,2023
연간 독서량,6~10권,소계,45.9,71.3,58.3,2023
연간 독서량,11~15권,소계,54.1,71.3,79.3,2023
연간 독서량,16~20권,소계,50.0,71.3,97.7,2023
연간 독서량,21권 이상,소계,60.0,71.3,83.2,2023
학교급,초등학교,소계,50.1,34,34.2,2023
학교급,중학교,소계,51.2,34,28.5,2023
학교급,고등학교,소계,47.8,34,40.3,2023
학교급*성별,초등학교,남,52.4,34,45.6,2023
학교급*성별,초등학교,여,47.6,34,23.7,2023
학교급*성별,중학교,남,51.3,34,23.1,2023
학교급*성별,중학교,여,51.0,34,34.2,2023
학교급*성별,고등학교,남,49.5,34,42.9,2023
학교급*성별,고등학교,여,46.0,34,38.4,2023
학교급*학년,초등학교,4학년,51.7,34,42.5,2023
학교급*학년,초등학교,5학년,53.4,34,30.2,2023
학교급*학년,초등학교,6학년,45.0,34,29.1,2023
학교급*학년,중학교,1학년,55.1,34,32.1,2023
학교급*학년,중학교,2학년,45.7,34,35.7,2023
학교급*학년,중학교,3학년,52.1,34,18.3,2023
학교급*학년,고등학교,1학년,50.0,34,40.2,2023
학교급*학년,고등학교,2학년,44.1,34,41.5,2023
학교급*학년,고등학교,3학년,49.2,34,38.3,2023
연간 독서량,1~5권,소계,38.5,34,28.0,2023
연간 독서량,6~10권,소계,45.9,34,28.3,2023
연간 독서량,11~15권,소계,54.1,34,40.4,2023
연간 독서량,16~20권,소계,50.0,34,28.1,2023
연간 독서량,21권 이상,소계,60.0,34,36.1,2023
