시도명,시군구명,도서관수,열람좌석수,자료수_도서,대출가능권수
강원특별자치도,강릉시,11,1903,524801,55
강원특별자치도,고성군,3,456,147310,15
강원특별자치도,동해시,7,1082,441998,59
강원특별자치도,삼척시,3,834,337883,15
강원특별자치도,속초시,4,1064,277112,20
강원특별자치도,양구군,8,476,117419,33
강원특별자치도,양양군,5,323,79038,5
강원특별자치도,영월군,4,525,265358,18
강원특별자치도,원주시,6,3054,807124,34
강원특별자치도,인제군,6,659,182821,30
강원특별자치도,정선군,3,390,138542,17
강원특별자치도,철원군,4,807,226367,26
강원특별자치도,춘천시,10,2456,811782,58
강원특별자치도,태백시,3,567,247745,15
강원특별자치도,평창군,8,583,232134,40
강원특별자치도,홍천군,6,789,280843,30
강원특별자치도,화천군,3,371,108740,15
강원특별자치도,횡성군,11,837,265878,55
경기도,가평군,4,398,364333,28
경기도,고양시,25,1292,1996853,159
경기도,과천시,4,2890,736831,30
경기도,광명시,6,3324,931216,42
경기도,광주시,15,2506,838978,93
경기도,구리시,8,1732,708410,40
경기도,군포시,42,4822,1245847,204
경기도,김포시,6,1879,764206,81
경기도,남양주시,13,5441,1437227,260
경기도,동두천시,6,771,379169,60
경기도,부천시,35,7486,2087093,175
경기도,성남시,41,13414,2813062,250
경기도,수원시,26,11079,3941215,186
경기도,시흥시,31,4295,1187942,310
경기도,안산시,24,5189,1576085,240
경기도,안성시,16,1280,1075897,160
경기도,안양시,11,6030,1468415,55
경기도,양주시,10,1961,702681,70
경기도,양평군,12,1300,443134,84
경기도,여주시,9,1249,473414,90
경기도,연천군,2,237,171291,20
경기도,오산시,7,1520,624490,49
경기도,용인시,27,7517,2675113,281
경기도,의왕시,12,1449,659698,120
경기도,의정부시,19,2315,725262,190
경기도,이천시,5,1712,579532,35
경기도,파주시,22,3297,1269127,148
경기도,평택시,14,4082,1215904,210
경기도,포천시,7,983,399336,49
경기도,하남시,8,3061,670063,40
경기도,화성시,32,7762,2052181,230
경상남도,거제시,31,2894,671278,45099
경상남도,거창군,2,600,179589,25
경상남도,고성군,3,601,166935,28
경상남도,김해시,52,5570,1675614,550
경상남도,남해군,2,374,167826,24
경상남도,밀양시,6,777,376087,60
경상남도,사천시,4,822,253255,50
경상남도,산청군,3,423,160800,47
경상남도,양산시,9,4507,638090,95
경상남도,의령군,2,558,186026,30
경상남도,진주시,74,2162,478835,327267
경상남도,창녕군,3,841,281437,45
경상남도,창원시,79,8530,3105974,345
경상남도,창원시 마산합포구,2,1115,400205,40
경상남도,창원시 마산회원구,1,675,137702,20
경상남도,창원시 성산구,1,915,349792,20
경상남도,통영시,5,731,348359,40
경상남도,하동군,12,448,136826,42
경상남도,함안군,2,605,157560,25
경상남도,함양군,11,350,120421,32
경상남도,합천군,17,629,131303,61239
경상북도,경산시,1,156,171517,10
경상북도,경주시,7,1266,545768,35
경상북도,고령군,2,382,102516,12
경상북도,구미시,11,5285,975656,60
경상북도,김천시,10,2121,464152,70
경상북도,문경시,15,1619,478704,80
경상북도,봉화군,1,72,85379,5
경상북도,상주시,9,1352,221962,28
경상북도,성주군,2,328,99537,15
경상북도,안동시,7,1673,367809,70
경상북도,영덕군,3,457,79596,16
경상북도,영양군,4,267,168655,64492
경상북도,영주시,7,1833,379524,45
경상북도,영천시,4,776,251058,18
경상북도,예천군,3,1014,258633,20
경상북도,울릉군,1,60,83626,10
경상북도,울진군,10,759,282498,55
경상북도,의성군,2,803,149329,12
경상북도,청도군,5,450,175426,50
경상북도,청송군,2,405,119303,10
경상북도,칠곡군,6,1143,339788,30
경상북도,포항시,51,4618,1173728,257
경상북도,하양읍,1,162,110757,5
광주광역시,광산구,6,1462,487200,30
광주광역시,남구,81,3805,942878,174
광주광역시,동구,53,3493,1042032,50
광주광역시,북구,98,5813,1301964,359
광주광역시,서구,83,4753,986087,243
대구광역시,군위군,4,667,925129,20
대구광역시,남구,4,1832,392297,40
대구광역시,달서구,53,3406,1316479,215
대구광역시,달성군,47,1980,623772,207
대구광역시,동구,17,3089,923229,170
대구광역시,북구,58,3700,896416,249
대구광역시,서구,23,2191,656666,124
대구광역시,수성구,11,2889,1047980,93
대구광역시,중구,28,2836,1275358,70
대전광역시,대덕구,6,3734,684169,60
대전광역시,동구,14,2286,1026055,100
대전광역시,서구,10,4136,1265184,100
대전광역시,유성구,25,3994,1286715,109
대전광역시,중구,51,6325,1304830,123
부산광역시,강서구,33,1596,357633,120
부산광역시,금정구,2,1451,360072,10
부산광역시,기장군,7,2439,567584,35
부산광역시,남구,38,1001,193253,59
부산광역시,동구,2,362,184724,10
부산광역시,동래구,2,365,128214,10
부산광역시,부산진구,15,734,196918,75
부산광역시,북구,5,660,419232,25
부산광역시,사상구,19,1036,276363,65
부산광역시,사하구,17,1557,376489,85
부산광역시,서구,21,490,106188,75
부산광역시,수영구,5,872,289469,25
부산광역시,연제구,8,871,367014,40
부산광역시,영도구,21,820,309979,100
부산광역시,중구,7,235,97400,24
부산광역시,해운대구,6,842,338607,30
서울특별시,강남구,27,2280,849694,135
서울특별시,강동구,6,1386,420447,36
서울특별시,강북구,7,1472,467708,35
서울특별시,강서구,36,3292,771834,140
서울특별시,관악구,39,1401,677350,171
서울특별시,광진구,34,2746,685626,122
서울특별시,구로구,14,1162,388751,140
서울특별시,금천구,27,2044,556266,270
서울특별시,노원구　,35,3728,887410,245
서울특별시,동작구,11,939,338082,55
서울특별시,마포구,15,1366,588536,73
서울특별시,서대문구,15,796,399200,105
서울특별시,서울특별시 도봉구,31,694,784826,148
서울특별시,서초구,9,1752,487092,45
서울특별시,성동구,24,1946,688694,100
서울특별시,성북구,17,2239,694300,85
서울특별시,송파구,12,2423,749376,60
서울특별시,양천구,23,1606,550547,115
서울특별시,영등포구,26,1546,489092,260
서울특별시,용산구,16,625,257793,76
서울특별시,은평구,77,5231,1034014,183
서울특별시,종로구,15,638,240632,150
서울특별시,중구,19,1040,436789,190
서울특별시,중랑구,6,2063,461841,519640
세종특별자치시,없음,24,3698,924531,120
울산광역시,남구,55,4461,1341554,215
울산광역시,동구,27,2026,724983,101
울산광역시,북구,9,1588,455247,270
울산광역시,울주군,14,1529,640776,70
울산광역시,중구,45,1677,278763,132
인천광역시,강화군,5,828,216647,92789
인천광역시,계양구,14,3184,840516,105
인천광역시,깅화군,1,193,18117,18114
인천광역시,남동구,13,3391,1829144,75
인천광역시,동구,8,2474,596981,45
인천광역시,미추홀구,21,3340,1108258,115
인천광역시,부평구,58,6792,2226234,210
인천광역시,서구,112,8579,2182591,187
인천광역시,연수구,27,4663,1480322,145
인천광역시,옹진군,9,461,180697,25
인천광역시,중구,33,1747,415563,52
전라남도,강진군,1,201,142553,5
전라남도,고흥군,1,960,98600,10
전라남도,곡성군,3,616,131681,20
전라남도,광양시,8,2794,587811,80
전라남도,구례군,2,545,99321,20
전라남도,나주시,4,2123,558058,27
전라남도,담양군,12,1345,241224,119484
전라남도,목포시,24,3389,827828,135
전라남도,무안군,33,1860,630653,107
전라남도,보성군,3,880,190048,35
전라남도,순천시,7,6114,699531,130
전라남도,신안군,4,0,68070,20
전라남도,여수시,8,4831,870905,45
전라남도,영광군,2,713,194458,25
전라남도,영암군,4,1525,362738,1008
전라남도,완도군,3,476,224139,253616
전라남도,장성군,4,1415,356002,40
전라남도,장흥군,2,712,180942,17
전라남도,진도군,2,591,153352,13
전라남도,함평군,10,495,127651,36
전라남도,해남군,2,940,191991,15
전라남도,화순군,14,1230,223145,60
전라북도,순창군,1,65,34773,4
전북특별자치도,고창군,10,485,241033,50
전북특별자치도,군산시,24,3178,819820,115
전북특별자치도,김제시,2,236,112232,10
전북특별자치도,남원시,23,1288,387010,119
전북특별자치도,무주군,7,548,147097,40
전북특별자치도,부안군,8,496,188935,37
전북특별자치도,순창군,1,276,73934,10
전북특별자치도,완주군,13,1515,444015,70
전북특별자치도,익산시,9,1301,1065798,45
전북특별자치도,임실군,9,466,166640,90
전북특별자치도,장수군,2,148,110144,10
전북특별자치도,전주시,41,5383,1671689,281
전북특별자치도,정읍시,17,1372,493809,85
전북특별자치도,진안군,2,257,102671,10
제주특별자치도,서귀포시,40,4210,1698079,182
제주특별자치도,제주시,16,5816,2269190,85
충청남도,계룡시,2,739,155198,10
충청남도,공주시,4,1317,462193,273831
충청남도,금산군,9,600,222568,90
충청남도,논산시,6,900,394631,60
충청남도,당진시,13,1482,415439,60
충청남도,보령시,11,589,425493,85
충청남도,부여군,1,211,31806,10
충청남도,서산시,9,1043,629170,60
충청남도,서천군,2,186,155525,25
충청남도,아산시,7,1842,702000,70
충청남도,예산군,2,402,148940,8
충청남도,천안시,20,4295,1132099,200
충청남도,청양군,2,318,131626,41543
충청남도,태안군,3,299,236697,30
충청남도,홍성군,7,1704,510455,53
충청북도,괴산군,1,340,63499,10
충청북도,괴산군 괴산읍,1,399,68223,5
충청북도,단양군,3,463,172381,25
충청북도,보은군,2,491,66235,10
충청북도,영동군,39,2402,649695,102
충청북도,옥천군,2,402,101644,10
충청북도,음성군,6,1001,245142,30
충청북도,제천시,6,605,530374,55
충청북도,증평군,2,914,127432,13
충청북도,진천군,4,807,291898,25
충청북도,청주시,16,4154,1972565,155
충청북도,충주시,3,849,640235,15
