시도명,시군구명,도서관수,열람좌석수,자료수_도서,대출가능권수,대출자수,대출권수,자료구입비_천원
강원특별자치도,강릉시,11,1903,524801,55,143716.0,343745.0,315864.0
강원특별자치도,고성군,3,456,147310,15,24619.0,117695.0,202740.0
강원특별자치도,동해시,7,1082,441998,59,20371.0,314668.0,293445.0
강원특별자치도,삼척시,3,834,337883,15,8968.0,117373.0,165380.0
강원특별자치도,속초시,4,1064,277112,20,44673.0,180368.0,186800.0
강원특별자치도,양구군,8,476,117419,33,1731.0,42260.0,60983.0
강원특별자치도,양양군,5,323,79038,5,14994.0,47328.0,45000.0
강원특별자치도,영월군,4,525,265358,18,15536.0,37985.0,64570.0
강원특별자치도,원주시,6,3054,807124,34,65171.0,961081.0,738099.0
강원특별자치도,인제군,6,659,182821,30,3538.0,73995.0,226084.0
강원특별자치도,정선군,3,390,138542,17,15355.0,45976.0,375506.0
강원특별자치도,철원군,4,807,226367,26,32242.0,89316.0,173644.0
강원특별자치도,춘천시,10,2456,811782,58,168429.0,785457.0,953780.0
강원특별자치도,태백시,3,567,247745,15,9888.0,95627.0,205268.0
강원특별자치도,평창군,8,583,232134,40,23628.0,72521.0,127215.0
강원특별자치도,홍천군,6,789,280843,30,25915.0,95543.0,165340.0
강원특별자치도,화천군,3,371,108740,15,19469.0,49592.0,66375.0
강원특별자치도,횡성군,11,837,265878,55,10456.0,65787.0,161711.0
경기도,가평군,4,398,364333,28,59805.0,130187.0,114169.0
경기도,고양시,25,1292,1996853,159,442634.0,3659420.0,2158623.0
경기도,과천시,4,2890,736831,30,61915.0,816796.0,496959.0
경기도,광명시,6,3324,931216,42,91570.0,1099030.0,778865.0
경기도,광주시,15,2506,838978,93,83748.0,944949.0,890445.0
경기도,구리시,8,1732,708410,40,66028.0,718093.0,403401.0
경기도,군포시,42,4822,1245847,204,78651.0,1333845.0,609786.0
경기도,김포시,6,1879,764206,81,87448.0,1922278.0,554920.0
경기도,남양주시,13,5441,1437227,260,154649.0,2011947.0,770909.0
경기도,동두천시,6,771,379169,60,16407.0,114348.0,399925.0
경기도,부천시,35,7486,2087093,175,270027.0,2025976.0,1441861.0
경기도,성남시,41,13414,2813062,250,464400.0,4317339.0,2131235.0
경기도,수원시,26,11079,3941215,186,471049.0,3776274.0,2229247.0
경기도,시흥시,31,4295,1187942,310,62523.0,1937049.0,821291.0
경기도,안산시,24,5189,1576085,240,103831.0,862019.0,1917979.0
경기도,안성시,16,1280,1075897,160,27077.0,721460.0,590886.0
경기도,안양시,11,6030,1468415,55,162705.0,2103834.0,1389375.0
경기도,양주시,10,1961,702681,70,93492.0,699836.0,219982.0
경기도,양평군,12,1300,443134,84,20483.0,309643.0,351730.0
경기도,여주시,9,1249,473414,90,20458.0,367540.0,421249.0
경기도,연천군,2,237,171291,20,4021.0,90550.0,55760.0
경기도,오산시,7,1520,624490,49,47948.0,759943.0,352302.0
경기도,용인시,27,7517,2675113,281,410053.0,5760860.0,2555098.0
경기도,의왕시,12,1449,659698,120,42089.0,875693.0,409661.0
경기도,의정부시,19,2315,725262,190,138440.0,810776.0,305264.0
경기도,이천시,5,1712,579532,35,27006.0,602089.0,438787.0
경기도,파주시,22,3297,1269127,148,185345.0,1550386.0,1120977.0
경기도,평택시,14,4082,1215904,210,139135.0,1647578.0,870239.0
경기도,포천시,7,983,399336,49,13771.0,202741.0,306689.0
경기도,하남시,8,3061,670063,40,86133.0,1584519.0,607957.0
경기도,화성시,32,7762,2052181,230,320263.0,3999849.0,1722667.0
경상남도,거제시,31,2894,671278,45099,127742.0,795296.0,620455.0
경상남도,거창군,2,600,179589,25,20320.0,139519.0,193567.0
경상남도,고성군,3,601,166935,28,24619.0,117695.0,202740.0
경상남도,김해시,52,5570,1675614,550,301127.0,1766060.0,990304.0
경상남도,남해군,2,374,167826,24,5811.0,61620.0,76371.0
경상남도,밀양시,6,777,376087,60,57189.0,176622.0,302755.0
경상남도,사천시,4,822,253255,50,36289.0,296962.0,498059.0
경상남도,산청군,3,423,160800,47,17139.0,84080.0,140060.0
경상남도,양산시,9,4507,638090,95,83528.0,1040410.0,701528.0
경상남도,의령군,2,558,186026,30,2241.0,42483.0,97240.0
경상남도,진주시,74,2162,478835,327267,46307.0,876201.0,421914.0
경상남도,창녕군,3,841,281437,45,17090.0,111150.0,181632.0
경상남도,창원시,79,8530,3105974,345,302008.0,3259086.0,2209008.0
경상남도,창원시 마산합포구,2,1115,400205,40,,,
경상남도,창원시 마산회원구,1,675,137702,20,,,
경상남도,창원시 성산구,1,915,349792,20,,,
경상남도,통영시,5,731,348359,40,15500.0,269114.0,247752.0
경상남도,하동군,12,448,136826,42,11531.0,52187.0,83292.0
경상남도,함안군,2,605,157560,25,20728.0,120354.0,150960.0
경상남도,함양군,11,350,120421,32,10055.0,57733.0,92628.0
경상남도,합천군,17,629,131303,61239,2044.0,45927.0,69380.0
경상북도,경산시,1,156,171517,10,25805.0,401770.0,646400.0
경상북도,경주시,7,1266,545768,35,44791.0,488651.0,501268.0
경상북도,고령군,2,382,102516,12,2682.0,54958.0,109200.0
경상북도,구미시,11,5285,975656,60,116637.0,1069244.0,1377344.0
경상북도,김천시,10,2121,464152,70,13145.0,391069.0,297250.0
경상북도,문경시,15,1619,478704,80,7178.0,175731.0,245847.0
경상북도,봉화군,1,72,85379,5,7537.0,26661.0,77840.0
경상북도,상주시,9,1352,221962,28,10070.0,191146.0,213195.0
경상북도,성주군,2,328,99537,15,1891.0,50794.0,62000.0
경상북도,안동시,7,1673,367809,70,17682.0,545844.0,533151.0
경상북도,영덕군,3,457,79596,16,1696.0,43836.0,46495.0
경상북도,영양군,4,267,168655,64492,829.0,23215.0,65000.0
경상북도,영주시,7,1833,379524,45,18890.0,273966.0,467248.0
경상북도,영천시,4,776,251058,18,19187.0,150956.0,194224.0
경상북도,예천군,3,1014,258633,20,16874.0,235756.0,830631.0
경상북도,울릉군,1,60,83626,10,468.0,12150.0,61127.0
경상북도,울진군,10,759,282498,55,11959.0,99471.0,129600.0
경상북도,의성군,2,803,149329,12,7331.0,64402.0,120380.0
경상북도,청도군,5,450,175426,50,3096.0,75202.0,86599.0
경상북도,청송군,2,405,119303,10,1237.0,34438.0,91114.0
경상북도,칠곡군,6,1143,339788,30,9075.0,223713.0,283898.0
경상북도,포항시,51,4618,1173728,257,104759.0,1005589.0,624131.0
경상북도,하양읍,1,162,110757,5,,,
광주광역시,광산구,6,1462,487200,30,32567.0,661831.0,323790.0
광주광역시,남구,81,3805,942878,174,140362.0,2839081.0,3308511.0
광주광역시,동구,53,3493,1042032,50,194383.0,2720746.0,2319793.0
광주광역시,북구,98,5813,1301964,359,391613.0,3307711.0,2348277.0
광주광역시,서구,83,4753,986087,243,388248.0,3846243.0,2840389.0
대구광역시,군위군,4,667,925129,20,1074.0,31209.0,25900.0
대구광역시,남구,4,1832,392297,40,140362.0,2839081.0,3308511.0
대구광역시,달서구,53,3406,1316479,215,102965.0,1316258.0,560892.0
대구광역시,달성군,47,1980,623772,207,24094.0,528065.0,347829.0
대구광역시,동구,17,3089,923229,170,194383.0,2720746.0,2319793.0
대구광역시,북구,58,3700,896416,249,391613.0,3307711.0,2348277.0
대구광역시,서구,23,2191,656666,124,388248.0,3846243.0,2840389.0
대구광역시,수성구,11,2889,1047980,93,135171.0,2218133.0,1093761.0
대구광역시,중구,28,2836,1275358,70,300853.0,2816489.0,3900401.0
대전광역시,대덕구,6,3734,684169,60,10741.0,213250.0,263590.0
대전광역시,동구,14,2286,1026055,100,194383.0,2720746.0,2319793.0
대전광역시,서구,10,4136,1265184,100,388248.0,3846243.0,2840389.0
대전광역시,유성구,25,3994,1286715,109,105706.0,1154724.0,615580.0
대전광역시,중구,51,6325,1304830,123,300853.0,2816489.0,3900401.0
부산광역시,강서구,33,1596,357633,120,231570.0,1753637.0,1116765.0
부산광역시,금정구,2,1451,360072,10,36853.0,684475.0,481953.0
부산광역시,기장군,7,2439,567584,35,120291.0,711790.0,526999.0
부산광역시,남구,38,1001,193253,59,140362.0,2839081.0,3308511.0
부산광역시,동구,2,362,184724,10,194383.0,2720746.0,2319793.0
부산광역시,동래구,2,365,128214,10,45355.0,346266.0,326634.0
부산광역시,부산진구,15,734,196918,75,59754.0,796352.0,1041462.0
부산광역시,북구,5,660,419232,25,391613.0,3307711.0,2348277.0
부산광역시,사상구,19,1036,276363,65,38000.0,570961.0,1537820.0
부산광역시,사하구,17,1557,376489,85,87323.0,392468.0,423297.0
부산광역시,서구,21,490,106188,75,388248.0,3846243.0,2840389.0
부산광역시,수영구,5,872,289469,25,136816.0,592014.0,336006.0
부산광역시,연제구,8,871,367014,40,29479.0,489803.0,334765.0
부산광역시,영도구,21,820,309979,100,16226.0,183460.0,242860.0
부산광역시,중구,7,235,97400,24,300853.0,2816489.0,3900401.0
부산광역시,해운대구,6,842,338607,30,180433.0,1178098.0,837039.0
서울특별시,강남구,27,2280,849694,135,261868.0,2498486.0,1182184.0
서울특별시,강동구,6,1386,420447,36,110908.0,1905350.0,894860.0
서울특별시,강북구,7,1472,467708,35,39048.0,486071.0,299023.0
서울특별시,강서구,36,3292,771834,140,231570.0,1753637.0,1116765.0
서울특별시,관악구,39,1401,677350,171,150107.0,450829.0,408929.0
서울특별시,광진구,34,2746,685626,122,113348.0,1283116.0,830014.0
서울특별시,구로구,14,1162,388751,140,85857.0,906321.0,742082.0
서울특별시,금천구,27,2044,556266,270,66116.0,418259.0,562671.0
서울특별시,노원구　,35,3728,887410,245,,,
서울특별시,동작구,11,939,338082,55,134644.0,818278.0,650190.0
서울특별시,마포구,15,1366,588536,73,90601.0,1426144.0,803078.0
서울특별시,서대문구,15,796,399200,105,29528.0,549837.0,504916.0
서울특별시,서울특별시 도봉구,31,694,784826,148,,,
서울특별시,서초구,9,1752,487092,45,154385.0,1409257.0,932388.0
서울특별시,성동구,24,1946,688694,100,57350.0,892365.0,436252.0
서울특별시,성북구,17,2239,694300,85,98343.0,805480.0,543130.0
서울특별시,송파구,12,2423,749376,60,165165.0,1850539.0,735296.0
서울특별시,양천구,23,1606,550547,115,234833.0,1614639.0,1587155.0
서울특별시,영등포구,26,1546,489092,260,59369.0,972872.0,555978.0
서울특별시,용산구,16,625,257793,76,34156.0,621848.0,644211.0
서울특별시,은평구,77,5231,1034014,183,161522.0,1057777.0,472799.0
서울특별시,종로구,15,638,240632,150,182776.0,925983.0,952471.0
서울특별시,중구,19,1040,436789,190,300853.0,2816489.0,3900401.0
서울특별시,중랑구,6,2063,461841,519640,109893.0,773432.0,368155.0
세종특별자치시,없음,24,3698,924531,120,,,
울산광역시,남구,55,4461,1341554,215,140362.0,2839081.0,3308511.0
울산광역시,동구,27,2026,724983,101,194383.0,2720746.0,2319793.0
울산광역시,북구,9,1588,455247,270,391613.0,3307711.0,2348277.0
울산광역시,울주군,14,1529,640776,70,118500.0,485649.0,433695.0
울산광역시,중구,45,1677,278763,132,300853.0,2816489.0,3900401.0
인천광역시,강화군,5,828,216647,92789,5026.0,75719.0,99421.0
인천광역시,계양구,14,3184,840516,105,33856.0,501279.0,364848.0
인천광역시,깅화군,1,193,18117,18114,,,
인천광역시,남동구,13,3391,1829144,75,62584.0,1009263.0,1005872.0
인천광역시,동구,8,2474,596981,45,194383.0,2720746.0,2319793.0
인천광역시,미추홀구,21,3340,1108258,115,22500.0,294533.0,338816.0
인천광역시,부평구,58,6792,2226234,210,91102.0,959735.0,1042514.0
인천광역시,서구,112,8579,2182591,187,388248.0,3846243.0,2840389.0
인천광역시,연수구,27,4663,1480322,145,286153.0,1247409.0,884565.0
인천광역시,옹진군,9,461,180697,25,265.0,1160.0,3000.0
인천광역시,중구,33,1747,415563,52,300853.0,2816489.0,3900401.0
전라남도,강진군,1,201,142553,5,1823.0,48576.0,52700.0
전라남도,고흥군,1,960,98600,10,8186.0,68267.0,222372.0
전라남도,곡성군,3,616,131681,20,3173.0,37956.0,108400.0
전라남도,광양시,8,2794,587811,80,22970.0,472845.0,609099.0
전라남도,구례군,2,545,99321,20,2310.0,61602.0,103800.0
전라남도,나주시,4,2123,558058,27,58714.0,386898.0,722134.0
전라남도,담양군,12,1345,241224,119484,2420.0,102793.0,135200.0
전라남도,목포시,24,3389,827828,135,47047.0,316728.0,353293.0
전라남도,무안군,33,1860,630653,107,91665.0,397773.0,783730.0
전라남도,보성군,3,880,190048,35,10234.0,76076.0,202647.0
전라남도,순천시,7,6114,699531,130,45566.0,685522.0,644503.0
전라남도,신안군,4,0,68070,20,898.0,3003.0,14114.0
전라남도,여수시,8,4831,870905,45,70185.0,716048.0,689471.0
전라남도,영광군,2,713,194458,25,2585.0,89242.0,166314.0
전라남도,영암군,4,1525,362738,1008,23725.0,86983.0,210380.0
전라남도,완도군,3,476,224139,253616,12181.0,33047.0,97500.0
전라남도,장성군,4,1415,356002,40,166820.0,155585.0,309360.0
전라남도,장흥군,2,712,180942,17,7323.0,53425.0,109142.0
전라남도,진도군,2,591,153352,13,3186.0,31707.0,112133.0
전라남도,함평군,10,495,127651,36,2369.0,23970.0,74200.0
전라남도,해남군,2,940,191991,15,3445.0,77224.0,137693.0
전라남도,화순군,14,1230,223145,60,3979.0,101578.0,124416.0
전라북도,순창군,1,65,34773,4,18463.0,20423.0,74340.0
전북특별자치도,고창군,10,485,241033,50,15469.0,50767.0,80592.0
전북특별자치도,군산시,24,3178,819820,115,87018.0,643587.0,581782.0
전북특별자치도,김제시,2,236,112232,10,4135.0,66770.0,158700.0
전북특별자치도,남원시,23,1288,387010,119,13579.0,101642.0,395875.0
전북특별자치도,무주군,7,548,147097,40,13712.0,33214.0,91660.0
전북특별자치도,부안군,8,496,188935,37,2560.0,52168.0,101280.0
전북특별자치도,순창군,1,276,73934,10,18463.0,20423.0,74340.0
전북특별자치도,완주군,13,1515,444015,70,34067.0,192156.0,228714.0
전북특별자치도,익산시,9,1301,1065798,45,116756.0,628373.0,710559.0
전북특별자치도,임실군,9,466,166640,90,6897.0,19005.0,96575.0
전북특별자치도,장수군,2,148,110144,10,8177.0,19239.0,63264.0
전북특별자치도,전주시,41,5383,1671689,281,181772.0,1513922.0,749263.0
전북특별자치도,정읍시,17,1372,493809,85,19635.0,204144.0,317389.0
전북특별자치도,진안군,2,257,102671,10,941.0,16970.0,30000.0
제주특별자치도,서귀포시,40,4210,1698079,182,84817.0,720765.0,618475.0
제주특별자치도,제주시,16,5816,2269190,85,452970.0,1800015.0,1114218.0
충청남도,계룡시,2,739,155198,10,8813.0,169899.0,129077.0
충청남도,공주시,4,1317,462193,273831,7787.0,201058.0,353076.0
충청남도,금산군,9,600,222568,90,16105.0,89394.0,144712.0
충청남도,논산시,6,900,394631,60,10383.0,269485.0,327977.0
충청남도,당진시,13,1482,415439,60,106659.0,307240.0,248013.0
충청남도,보령시,11,589,425493,85,13389.0,171720.0,233907.0
충청남도,부여군,1,211,31806,10,3543.0,47492.0,69860.0
충청남도,서산시,9,1043,629170,60,88305.0,563830.0,581883.0
충청남도,서천군,2,186,155525,25,2085.0,31712.0,94023.0
충청남도,아산시,7,1842,702000,70,63445.0,1035339.0,1187341.0
충청남도,예산군,2,402,148940,8,10338.0,56935.0,149950.0
충청남도,천안시,20,4295,1132099,200,212195.0,1986369.0,1491879.0
충청남도,청양군,2,318,131626,41543,1969.0,21858.0,84995.0
충청남도,태안군,3,299,236697,30,4565.0,142104.0,190404.0
충청남도,홍성군,7,1704,510455,53,18823.0,452402.0,671867.0
충청북도,괴산군,1,340,63499,10,1292.0,27230.0,27558.0
충청북도,괴산군 괴산읍,1,399,68223,5,,,
충청북도,단양군,3,463,172381,25,9228.0,43484.0,79392.0
충청북도,보은군,2,491,66235,10,12156.0,36977.0,59883.0
충청북도,영동군,39,2402,649695,102,7242.0,42326.0,62780.0
충청북도,옥천군,2,402,101644,10,3150.0,67055.0,110913.0
충청북도,음성군,6,1001,245142,30,16961.0,126497.0,166978.0
충청북도,제천시,6,605,530374,55,56782.0,373032.0,605384.0
충청북도,증평군,2,914,127432,13,4328.0,72674.0,81240.0
충청북도,진천군,4,807,291898,25,58336.0,175280.0,203683.0
충청북도,청주시,16,4154,1972565,155,493313.0,2601127.0,1605962.0
충청북도,충주시,3,849,640235,15,51264.0,491000.0,519501.0
